Timestamp 	 CPU-Usage
13:24:53.715 17
13:24:54.721 8
13:24:55.728 4
13:24:56.736 4
13:24:57.744 5
13:24:58.751 7
13:24:59.758 10
13:25:00.765 23
13:25:01.773 17
13:25:02.780 24
13:25:03.787 41
13:25:04.793 32
13:25:05.800 26
13:25:06.806 14
13:25:07.814 48
13:25:08.820 58
13:25:09.825 42
13:25:10.831 66
13:25:11.838 39
13:25:12.843 36
13:25:13.848 34
13:25:14.852 48
13:25:15.858 66
13:25:16.864 70
13:25:17.869 68
13:25:18.874 29
13:25:21.081 20
13:25:22.349 55
13:25:23.573 55
13:25:25.067 54
13:25:26.075 31
13:25:27.081 22
13:25:29.048 22
13:25:30.841 65
13:25:31.848 42
13:25:32.854 18
13:25:33.859 22
13:25:34.865 9
13:25:35.871 7
13:25:36.876 12
13:25:37.881 14
13:25:38.886 19
13:25:39.892 9
13:25:40.897 15
13:25:41.903 13
13:25:42.908 12
13:25:43.914 29
13:25:44.919 32
13:25:45.923 39
13:25:46.928 36
13:25:47.934 72
13:25:48.939 66
13:25:49.943 44
13:25:50.948 49
13:25:51.954 13
13:25:52.958 13
13:25:53.964 20
13:25:54.971 11
13:25:55.977 8
13:25:56.983 12
13:25:57.989 15
13:25:58.995 21
13:26:00.000 20
13:26:01.005 20
13:26:02.009 18
13:26:03.014 16
13:26:04.019 8
13:26:05.025 5
13:26:06.032 10
13:26:07.040 5
13:26:08.047 17
13:26:09.055 4
13:26:10.063 5
13:26:11.071 13
13:26:12.079 12
13:26:13.087 10
13:26:14.095 20
13:26:15.102 16
13:26:16.108 7
13:26:17.115 3
13:26:18.122 5
13:26:19.129 18
13:26:20.135 35
13:26:21.140 27
13:26:22.146 17
13:26:23.153 20
13:26:24.159 15
13:26:25.166 30
13:26:26.172 16
13:26:27.177 12
13:26:28.184 17
13:26:29.191 15
13:26:30.198 26
13:26:31.205 16
13:26:32.211 21
13:26:33.218 15
13:26:34.225 20
13:26:35.233 16
13:26:36.240 5
13:26:37.248 9
13:26:38.256 14
13:26:39.263 4
13:26:40.271 6
13:26:41.278 4
13:26:42.285 15
13:26:43.292 17
13:26:44.299 20
13:26:45.306 21
13:26:46.311 18
13:26:47.317 20
13:26:48.324 10
13:26:49.332 11
13:26:50.339 18
13:26:51.346 33
13:26:52.354 4
13:26:53.362 13
13:26:54.369 7
13:26:55.377 5
13:26:56.385 14
13:26:57.394 13
13:26:58.400 10
13:26:59.408 7
13:27:00.416 8
13:27:01.422 5
13:27:02.430 6
13:27:03.438 10
13:27:04.445 4
13:27:05.453 12
13:27:06.460 7
13:27:07.467 7
13:27:08.475 4
13:27:09.482 5
13:27:10.490 4
13:27:11.498 6
13:27:12.506 5
13:27:13.514 4
13:27:14.521 7
13:27:15.528 10
13:27:16.535 10
13:27:17.543 4
13:27:18.550 8
13:27:19.558 4
13:27:20.566 9
13:27:21.572 14
13:27:22.577 7
13:27:23.810 2
13:27:24.816 9
13:27:25.821 8
13:27:26.826 12
13:27:27.831 10
13:27:28.837 11
13:27:29.842 11
13:27:30.850 29
13:27:31.858 16
13:27:32.865 20
13:27:33.871 18
13:27:34.878 17
13:27:35.884 20
13:27:36.890 13
13:27:37.898 15
13:27:38.905 22
13:27:39.912 25
13:27:40.918 16
13:27:41.924 19
13:27:42.933 18
13:27:43.939 18
13:27:44.944 10
13:27:45.955 28
13:27:46.963 15
13:27:47.970 17
13:27:48.978 16
13:27:49.985 18
13:27:50.992 12
13:27:51.999 6
13:27:53.007 6
13:27:54.014 7
13:27:55.022 16
13:27:56.029 15
13:27:57.035 19
13:27:58.041 10
13:27:59.049 15
13:28:00.056 12
13:28:01.063 16
13:28:02.071 14
13:28:03.077 13
13:28:04.085 5
13:28:05.092 11
13:28:06.098 18
13:28:07.106 23
13:28:08.113 18
13:28:09.120 9
13:28:10.127 3
13:28:11.133 5
13:28:12.140 16
13:28:13.147 23
13:28:14.155 9
